proba,teama,probx,teamb,probb
0.66,"Russia",0.22,"Saudi Arabia",0.12
0.18,"Egypt",0.28,"Uruguay",0.54
0.4,"Morocco",0.33,"Iran",0.27
0.25,"Portugal",0.27,"Spain",0.48
0.77,"France",0.16,"Australia",0.07
0.61,"Argentina",0.24,"Iceland",0.15
0.29,"Peru",0.29,"Denmark",0.42
0.51,"Croatia",0.29,"Nigeria",0.2
0.23,"Costa Rica",0.28,"Serbia",0.49
0.63,"Germany",0.22,"Mexico",0.15
0.59,"Brazil",0.25,"Switzerland",0.16
0.54,"Sweden",0.27,"South Korea",0.19
0.77,"Belgium",0.16,"Panama",0.07
0.09,"Tunisia",0.22,"England",0.69
0.48,"Colombia",0.29,"Japan",0.23
0.45,"Poland",0.29,"Senegal",0.26
0.56,"Russia",0.28,"Egypt",0.16
0.54,"Portugal",0.28,"Morocco",0.18
0.75,"Uruguay",0.18,"Saudi Arabia",0.07
0.07,"Iran",0.17,"Spain",0.76
0.54,"Denmark",0.25,"Australia",0.21
0.58,"France",0.25,"Peru",0.17
0.4,"Argentina",0.31,"Croatia",0.29
0.79,"Brazil",0.16,"Costa Rica",0.05
0.34,"Nigeria",0.3,"Iceland",0.36
0.3,"Serbia",0.28,"Switzerland",0.42
0.76,"Belgium",0.16,"Tunisia",0.08
0.19,"South Korea",0.26,"Mexico",0.55
0.58,"Germany",0.24,"Sweden",0.18
0.76,"England",0.19,"Panama",0.05
0.41,"Japan",0.29,"Senegal",0.3
0.29,"Poland",0.29,"Colombia",0.42
0.23,"Saudi Arabia",0.28,"Egypt",0.49
0.35,"Uruguay",0.3,"Russia",0.35
0.67,"Spain",0.22,"Morocco",0.11
0.14,"Iran",0.28,"Portugal",0.58
0.2,"Denmark",0.26,"France",0.54
0.26,"Australia",0.29,"Peru",0.45
0.17,"Nigeria",0.29,"Argentina",0.54
0.17,"Iceland",0.25,"Croatia",0.58
0.05,"South Korea",0.14,"Germany",0.81
0.34,"Mexico",0.29,"Sweden",0.37
0.13,"Serbia",0.23,"Brazil",0.64
0.57,"Switzerland",0.26,"Costa Rica",0.17
0.21,"Senegal",0.3,"Colombia",0.49
0.36,"Japan",0.27,"Poland",0.37
0.37,"England",0.27,"Belgium",0.36
0.31,"Panama",0.28,"Tunisia",0.41
0.55,"France",0,"Argentina",0.45
0.45,"Uruguay",0,"Portugal",0.55
0.78,"Spain",0,"Russia",0.22
0.63,"Croatia",0,"Denmark",0.37
0.82,"Brazil",0,"Mexico",0.18
0.76,"Belgium",0,"Japan",0.24
0.48,"Sweden",0,"Switzerland",0.52
0.4,"Colombia",0,"England",0.6
0.38,"Uruguay",0,"France",0.62
0.64,"Brazil",0,"Belgium",0.36
0.38,"Sweden",0,"England",0.62
0.39,"Russia",0,"Croatia",0.61
0.52,"France",0,"Belgium",0.48
0.43,"Croatia",0,"England",0.57
0.51,"Belgium",0,"England",0.49
0.59,"France",0,"Croatia",0.41
